timestamp,market_ticker,yes_bid,yes_ask,no_bid,no_ask
2026-05-05 18:36:51,KXBTC15M-26MAY051845-45,0.01,0.015,0.985,0.99
2026-05-05 18:36:52,KXBTC15M-26MAY051845-45,0.01,0.018,0.982,0.99
2026-05-05 18:36:53,KXBTC15M-26MAY051845-45,0.011,0.017,0.983,0.989
2026-05-05 18:36:54,KXBTC15M-26MAY051845-45,0.01,0.017,0.983,0.99
2026-05-05 18:36:55,KXBTC15M-26MAY051845-45,0.01,0.017,0.983,0.99
2026-05-05 18:36:56,KXBTC15M-26MAY051845-45,0.01,0.017,0.983,0.99
2026-05-05 18:36:57,KXBTC15M-26MAY051845-45,0.01,0.014,0.986,0.99
2026-05-05 18:36:58,KXBTC15M-26MAY051845-45,0.01,0.017,0.983,0.99
2026-05-05 18:36:59,KXBTC15M-26MAY051845-45,0.01,0.016,0.984,0.99
2026-05-05 18:37:00,KXBTC15M-26MAY051845-45,0.01,0.017,0.983,0.99
2026-05-05 18:37:01,KXBTC15M-26MAY051845-45,0.01,0.017,0.983,0.99
2026-05-05 18:37:02,KXBTC15M-26MAY051845-45,0.01,0.017,0.983,0.99
2026-05-05 18:37:03,KXBTC15M-26MAY051845-45,0.01,0.017,0.983,0.99
2026-05-05 18:37:04,KXBTC15M-26MAY051845-45,0.012,0.018,0.982,0.988
2026-05-05 18:37:05,KXBTC15M-26MAY051845-45,0.012,0.016,0.984,0.988
2026-05-05 18:37:06,KXBTC15M-26MAY051845-45,0.012,0.013,0.987,0.988
2026-05-05 18:37:07,KXBTC15M-26MAY051845-45,0.011,0.012,0.988,0.989
2026-05-05 18:37:08,KXBTC15M-26MAY051845-45,0.011,0.012,0.988,0.989
2026-05-05 18:37:10,KXBTC15M-26MAY051845-45,0.011,0.012,0.988,0.989
2026-05-05 18:37:11,KXBTC15M-26MAY051845-45,0.011,0.012,0.988,0.989
2026-05-05 18:37:12,KXBTC15M-26MAY051845-45,0.011,0.018,0.982,0.989
2026-05-05 18:37:13,KXBTC15M-26MAY051845-45,0.011,0.012,0.988,0.989
2026-05-05 18:37:14,KXBTC15M-26MAY051845-45,0.011,0.018,0.982,0.989
2026-05-05 18:37:15,KXBTC15M-26MAY051845-45,0.011,0.012,0.988,0.989
2026-05-05 18:37:16,KXBTC15M-26MAY051845-45,0.011,0.012,0.988,0.989
2026-05-05 18:37:17,KXBTC15M-26MAY051845-45,0.01,0.011,0.989,0.99
2026-05-05 18:37:18,KXBTC15M-26MAY051845-45,0.01,0.011,0.989,0.99
2026-05-05 18:37:19,KXBTC15M-26MAY051845-45,0.01,0.011,0.989,0.99
2026-05-05 18:37:20,KXBTC15M-26MAY051845-45,0.008,0.009,0.991,0.992
2026-05-05 18:37:21,KXBTC15M-26MAY051845-45,0.008,0.009,0.991,0.992
2026-05-05 18:37:22,KXBTC15M-26MAY051845-45,0.008,0.01,0.99,0.992
2026-05-05 18:37:23,KXBTC15M-26MAY051845-45,0.008,0.009,0.991,0.992
2026-05-05 18:37:24,KXBTC15M-26MAY051845-45,0.008,0.014,0.986,0.992
2026-05-05 18:37:25,KXBTC15M-26MAY051845-45,0.008,0.013,0.987,0.992
2026-05-05 18:37:26,KXBTC15M-26MAY051845-45,0.008,0.013,0.987,0.992
2026-05-05 18:37:27,KXBTC15M-26MAY051845-45,0.008,0.014,0.986,0.992
2026-05-05 18:37:28,KXBTC15M-26MAY051845-45,0.008,0.014,0.986,0.992
2026-05-05 18:37:29,KXBTC15M-26MAY051845-45,0.008,0.014,0.986,0.992
2026-05-05 18:37:30,KXBTC15M-26MAY051845-45,0.005,0.009,0.991,0.995
2026-05-05 18:37:31,KXBTC15M-26MAY051845-45,0.006,0.01,0.99,0.994
2026-05-05 18:37:32,KXBTC15M-26MAY051845-45,0.006,0.01,0.99,0.994
2026-05-05 18:37:34,KXBTC15M-26MAY051845-45,0.006,0.01,0.99,0.994
