session_number,session_date,session_start_time,session_end_time,market_ticker,starting_balance,ending_balance,session_pnl,session_pnl_percent,trade_number,side,buy_time,buy_price,buy_quantity,buy_cost,buy_order_id,sold,sell_time,sell_price,sell_quantity,sell_proceeds,sell_order_id,exit_type,trade_pnl,trade_pnl_percent,hold_duration_seconds,outcome,emergency_exit,emergency_exit_time,emergency_exit_price,boundary_difference,market_outcome
47,2026-06-13,2026-06-13 09:16:07,2026-06-13 09:30:00,KXETH15M-26JUN130930-30,10.57,10.574,0.0039999999999995595,0.03784295175023235,1,YES,2026-06-13 09:29:22,0.999,4,3.996,5257cb43-5796-4189-8212-5f4054fe63c8,True,2026-06-13 09:30:00,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,38,WIN,False,,,,YES
49,2026-06-13,2026-06-13 09:46:02,2026-06-13 09:59:57,KXETH15M-26JUN131000-00,10.58,10.584,0.0039999999999995595,0.037807183364835156,1,NO,2026-06-13 09:59:25,0.999,4,3.996,7133f538-3ba6-4551-994a-c5bce33c1823,True,2026-06-13 09:59:57,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,32,WIN,False,,,,NO
50,2026-06-13,2026-06-13 10:01:03,2026-06-13 10:15:00,KXETH15M-26JUN131015-15,10.59,10.594,0.0039999999999995595,0.03777148253068517,1,YES,2026-06-13 10:13:37,0.999,4,3.996,aa7134c9-e1fb-415c-b54e-e4ecc7f610c8,True,2026-06-13 10:15:00,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,83,WIN,False,,,,YES
51,2026-06-13,2026-06-13 10:16:13,2026-06-13 10:29:56,KXETH15M-26JUN131030-30,10.6,10.604,0.0039999999999995595,0.037735849056599616,1,NO,2026-06-13 10:29:17,0.999,4,3.996,f93df707-13ab-47fa-a952-75601f2861a8,True,2026-06-13 10:29:56,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,39,WIN,False,,,,NO
52,2026-06-13,2026-06-13 10:31:08,2026-06-13 10:44:58,KXETH15M-26JUN131045-45,10.6,10.604,0.0039999999999995595,0.037735849056599616,1,YES,2026-06-13 10:44:32,0.999,4,3.996,db730203-7026-429f-a2d0-e6d74527b998,True,2026-06-13 10:44:58,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,26,WIN,False,,,,YES
54,2026-06-13,2026-06-13 11:01:02,2026-06-13 11:15:00,KXETH15M-26JUN131115-15,10.61,10.613999999999999,0.0039999999999995595,0.03770028275211649,1,YES,2026-06-13 11:14:05,0.999,4,3.996,1e84770d-263c-464c-a740-738279669e78,True,2026-06-13 11:15:00,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,55,WIN,False,,,,YES
55,2026-06-13,2026-06-13 11:16:07,2026-06-13 11:30:00,KXETH15M-26JUN131130-30,10.62,10.623999999999999,0.0039999999999995595,0.03766478342749115,1,YES,2026-06-13 11:29:04,0.999,4,3.996,7d68d3d4-4074-43a1-baa0-c42bb7882a50,True,2026-06-13 11:30:00,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,56,WIN,False,,,,YES
56,2026-06-13,2026-06-13 11:31:08,2026-06-13 11:45:09,KXETH15M-26JUN131145-45,10.62,10.623999999999999,0.0039999999999995595,0.03766478342749115,1,NO,2026-06-13 11:44:36,0.999,4,3.996,faa9c4fb-0396-480f-97a5-06eb3c0ea5dc,True,2026-06-13 11:45:09,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,33,WIN,False,,,,NO
57,2026-06-13,2026-06-13 11:46:17,2026-06-13 11:59:55,KXETH15M-26JUN131200-00,10.63,10.633000000000001,0.0030000000000001137,0.02822201317027388,1,YES,2026-06-13 11:59:00,0.999,3,2.997,bd5a70e9-545d-4936-b1ac-00fbf505af2b,True,2026-06-13 11:59:55,1.0,3,3.0,,SETTLEMENT,0.0030000000000000027,0.10010010010010019,55,WIN,False,,,,YES
58,2026-06-13,2026-06-13 12:01:08,2026-06-13 12:14:58,KXETH15M-26JUN131215-15,10.64,10.644,0.0039999999999995595,0.03759398496240187,1,NO,2026-06-13 12:13:29,0.999,4,3.996,05f834c9-d584-4e72-9915-0e82f1b620ef,True,2026-06-13 12:14:58,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,89,WIN,False,,,,NO
59,2026-06-13,2026-06-13 12:16:03,2026-06-13 12:30:00,KXETH15M-26JUN131230-30,10.65,10.654,0.0039999999999995595,0.037558685446005255,1,NO,2026-06-13 12:29:01,0.999,4,3.996,fb0a875c-c15e-4716-81d3-7e5602ba041b,True,2026-06-13 12:30:00,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,59,WIN,False,,,,NO
60,2026-06-13,2026-06-13 12:31:13,2026-06-13 12:45:00,KXETH15M-26JUN131245-45,10.65,10.654,0.0039999999999995595,0.037558685446005255,1,YES,2026-06-13 12:44:17,0.999,4,3.996,3af4e8f0-53e0-4078-9675-19633b7912a0,True,2026-06-13 12:45:00,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,43,WIN,False,,,,YES
61,2026-06-13,2026-06-13 12:46:13,2026-06-13 12:59:56,KXETH15M-26JUN131300-00,10.66,10.664,0.0039999999999995595,0.03752345215759437,1,YES,2026-06-13 12:59:05,0.999,4,3.996,c232eabd-4c40-4601-84fe-cb1dedfc8a76,True,2026-06-13 12:59:56,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,51,WIN,False,,,,YES
